Sample
TCGA-A1-A0SP
TCGA-A2-A04P
TCGA-A2-A04T
TCGA-A2-A04U
TCGA-A2-A0CM
TCGA-A2-A0D0
TCGA-A2-A0D2
TCGA-A2-A0ST
TCGA-A2-A0T0
TCGA-A2-A0YE
TCGA-A2-A0YM
TCGA-A2-A3XT
TCGA-A2-A3XU
TCGA-A2-A3XX
TCGA-A2-A3XY
TCGA-A7-A0CE
TCGA-A7-A0DA
TCGA-A7-A26I
TCGA-A7-A4SD
TCGA-A7-A4SE
TCGA-A7-A6VV
TCGA-A7-A6VW
TCGA-A7-A6VY
TCGA-A8-A07O
TCGA-A8-A07R
TCGA-A8-A08R
TCGA-AC-A2BK
TCGA-AC-A8OQ
TCGA-AN-A04D
TCGA-AN-A0AL
TCGA-AN-A0AR
TCGA-AN-A0AT
TCGA-AN-A0FX
TCGA-AN-A0G0
TCGA-AN-A0XU
TCGA-AO-A0J6
TCGA-AO-A124
TCGA-AO-A128
TCGA-AO-A12F
TCGA-AO-A1KR
TCGA-AQ-A04J
TCGA-AQ-A54N
TCGA-AR-A0TS
TCGA-AR-A0TU
TCGA-AR-A0U0
TCGA-AR-A1AQ
TCGA-AR-A256
TCGA-BH-A0B3
TCGA-BH-A0E0
TCGA-BH-A18Q
TCGA-BH-A18T
TCGA-BH-A18V
TCGA-C8-A12V
TCGA-C8-A131
TCGA-C8-A134
TCGA-C8-A1HJ
TCGA-C8-A27B
TCGA-D8-A142
TCGA-D8-A1JL
TCGA-D8-A1XK
TCGA-D8-A1XQ
TCGA-D8-A27F
TCGA-E2-A14N
TCGA-E2-A14R
TCGA-E2-A14X
TCGA-E2-A158
TCGA-E2-A159
TCGA-E2-A1AZ
TCGA-E2-A1B6
TCGA-E2-A1LI
TCGA-E2-A1LK
TCGA-E2-A574
TCGA-E9-A1ND
TCGA-E9-A22G
TCGA-E9-A5FL
TCGA-EW-A1P8
TCGA-EW-A1PB
TCGA-EW-A6SB
TCGA-GI-A2C9
TCGA-GM-A2DF
TCGA-GM-A3XL
TCGA-OL-A5D7
TCGA-OL-A5RW
TCGA-OL-A66I
TCGA-S3-AA10
TCGA-S3-AA15
TCGA-A1-A0SO
TCGA-B6-A400
TCGA-B6-A409
TCGA-B6-A0IK
TCGA-B6-A0RS
TCGA-C8-A26X
TCGA-C8-A26Y
TCGA-D8-A1JF
TCGA-D8-A1JG
TCGA-EW-A1OV
TCGA-GM-A2DB
TCGA-OL-A66P
TCGA-B6-A0RG
TCGA-BH-A1EW
TCGA-E2-A1L7
TCGA-B6-A0IE
TCGA-C8-A3M7
TCGA-A2-A3XS
TCGA-AR-A1AI
TCGA-BH-A0RX
TCGA-BH-A1FC
TCGA-E2-A150
TCGA-EW-A1P4
TCGA-AR-A5QQ
TCGA-E2-A1LL
TCGA-AC-A2QH
TCGA-AC-A2QJ
TCGA-AC-A7VC
TCGA-A2-A1G6
TCGA-EW-A1P1
TCGA-EW-A1P7
TCGA-OL-A5D6
TCGA-A7-A26G
TCGA-A8-A09X
TCGA-AC-A6IW
TCGA-E2-A1LG
TCGA-AR-A2LH
TCGA-BH-A42U
TCGA-AR-A1AR
TCGA-B6-A0RT
TCGA-B6-A0WX
TCGA-EW-A3U0
TCGA-HN-A2NL
TCGA-A1-A0SK
TCGA-OL-A97C
TCGA-AN-A0FL
TCGA-D8-A143
